,country_code,Country,Total_cases,Total_deaths,stringency,Population,gdppc,hdi
122,SGP,Singapore,8191161,4691,64.39325,5850343,85535.383,0.933
123,SVK,Slovakia,798665,6055,45.3587,5459643,30155.152,0.944
124,SVN,Slovenia,547075,22165,57.5168,2078932,31400.84,0.538
125,ZAF,South Africa,63027659,1357682,77.55025,59308690,12294.876,0.755
126,KOR,South Korea,3333075,63333,64.77155,51269183,35938.374,0.503
127,SSD,South Sudan,333500,6063,55.0066,11193729,1569.888,0.784
128,ESP,Spain,73717676,5510624,71.4028,46754783,34272.36,0.791
129,LKA,Sri Lanka,446643,2108,55.27885,21413250,11669.077,0.516
130,SDN,Sudan,1663545,102825,81.0031,43849269,4466.507,0.751
131,SUR,Suriname,358632,6961,80.6216,586634,13767.119,0.863
132,SWZ,Swaziland,444238,8179,67.29645,1160164,7738.975,0.922
133,SWE,Sweden,11910109,941063,43.2528,10099270,46949.283,0.924
134,CHE,Switzerland,7552067,320693,59.0242,8654618,57410.166,0.804
135,TJK,Tajikistan,1117391,9730,43.05015,9537642,2896.913,0.71
136,TZA,Tanzania,91526,3733,31.0788,59734213,2683.304,0.761
137,THA,Thailand,655703,11162,62.64295,69799978,16277.671,0.452
138,TGO,Togo,169903,4197,58.76325,8278737,1429.813,0.535
