country_code,country,Total_cases,Total_deaths,stringency,Population,gdppc,hdi
TTO,Trinidad and Tobago,225550,4519,50.03659864,1399491,28763.071,0.517333333
TUN,Tunisia,1000626,19025,36.25187075,11818618,10849.297,0.5325
TUR,Turkey,41431948,1049757,46.37309524,84339067,25129.341,0.567690476
UGA,Uganda,448728,3748,23.07853741,45741000,1697.707,0.152693878
UKR,Ukraine,15805665,343334,47.42578231,43733759,7894.393,0.538982993
ARE,United Arab Emirates,10247326,58035,42.68418367,9890400,67293.483,0.595880952
GBR,United Kingdom,59475032,7249573,48.45513605,67886004,39753.244,0.664843537
USA,United States,746014098,26477574,50.50197279,331002647,54225.446,0.710285714
URY,Uruguay,239884,6083,30.95520408,3473727,20551.409,0.555142857
UZB,Uzbekistan,4421215,31903,51.18336735,33469199,6253.104,0.485408163
VEN,Venezuela,4839834,40840,57.66357143,28435943,16745.022,0.522863946
VNM,Vietnam,122618,2318,18.54068027,97338583,6171.884,0.188843537
YEM,Yemen,228925,64304,24.85088435,29825968,1479.147,0.253673469
ZMB,Zambia,1129913,26475,31.45527211,18383956,3689.251,0.372
ZWE,Zimbabwe,593699,15984,57.01982993,14862927,1899.775,0.382142857
